student_id,post_time,platform,text_content,emotion_label
S000001,2025-09-01 05:44:00,校园论坛,期末复习太累了，脑子转不动。,negative
S000001,2025-09-04 02:13:00,匿名留言板,和新同学认识聊得很愉快，交到了新朋友。,positive
S000001,2025-09-14 21:47:00,校园论坛,图书馆九点闭馆，需要早点去。 希望明天会更好,neutral
S000001,2025-10-14 03:05:00,匿名留言板,生活费快花完了，又不好意思向家里要... #校园生活,negative
S000001,2025-11-21 03:01:00,校园论坛,今天作业不多，可以早点休息。,neutral
S000001,2025-11-23 22:34:00,校园论坛,最近总是莫名的焦虑不安。 希望明天会更好,negative
S000002,2025-09-06 21:14:00,树洞,图书馆九点闭馆，需要早点去。,neutral
S000002,2025-09-06 23:29:00,匿名留言板,人际交往好复杂，感觉好累。,negative
S000002,2025-09-27 21:17:00,匿名留言板,图书馆九点闭馆，需要早点去。 希望明天会更好,neutral
S000002,2025-10-19 08:29:00,校园论坛,室友今天生日，准备买个蛋糕。,neutral
S000002,2025-11-08 23:15:00,树洞,图书馆的氛围很好，学习效率很高。 #日常,positive
S000002,2025-11-20 19:56:00,匿名留言板,图书馆二楼的自习室比较安静。,neutral
S000003,2025-09-05 10:25:00,树洞,周末和室友一起去看了电影，很放松！ 希望明天会更好,positive
S000003,2025-09-07 03:09:00,校园论坛,手机内存不够了，需要清理一下。 希望明天会更好,neutral
S000003,2025-10-02 23:35:00,树洞,今天摔了一跤，膝盖好疼... #今天,negative
S000003,2025-10-11 06:41:00,校园论坛,最近总是莫名的焦虑不安。,negative
S000003,2025-10-22 11:14:00,校园论坛,这周生活费还剩一半，需要省着点花。 分享给大家~,neutral
S000003,2025-11-21 22:35:00,校园论坛,今天的阳光很温暖，适合出去走走。,positive
S000004,2025-09-15 21:56:00,校园论坛,期末复习太累了，脑子转不动。 给自己加油！,negative
S000004,2025-10-08 13:10:00,匿名留言板,期末复习太累了，脑子转不动。 分享给大家~,negative
S000004,2025-10-18 05:34:00,匿名留言板,耳机丢了，最近只能外放了。,neutral
S000004,2025-10-19 19:29:00,匿名留言板,感觉和周围的人格格不入。,negative
S000004,2025-11-02 00:07:00,校园论坛,学校最近在举办运动会报名。,neutral
S000004,2025-11-04 03:55:00,校园论坛,耳机丢了，最近只能外放了。 希望明天会更好,neutral
S000005,2025-09-01 02:45:00,树洞,今天作业不多，可以早点休息。,neutral
S000005,2025-09-17 21:30:00,匿名留言板,天气预报说明天会下雨，记得带伞。 #日常,neutral
S000005,2025-09-29 02:21:00,匿名留言板,今天被老师表扬了，有点小骄傲！,positive
S000005,2025-11-12 02:05:00,匿名留言板,图书馆九点闭馆，需要早点去。 分享给大家~,neutral
S000005,2025-11-17 13:13:00,校园论坛,周末打算去超市买点日用品。 加油！,neutral
S000005,2025-11-25 20:23:00,校园论坛,论文写不出来，deadline又快到了。 #记录,negative
S000006,2025-09-07 21:41:00,校园论坛,明天有小组会议，要准备一下PPT。,neutral
S000006,2025-09-13 21:27:00,树洞,每天都很忙碌但又觉得没有意义... #记录,negative
S000006,2025-09-24 08:29:00,树洞,和朋友们一起吃饭好开心呀！ #记录,positive
S000006,2025-10-13 02:32:00,匿名留言板,小组项目进展顺利，大家配合得很好。,positive
S000006,2025-10-14 03:15:00,校园论坛,今天被老师表扬了，有点小骄傲！ #记录,positive
S000006,2025-11-13 18:30:00,校园论坛,小组项目进展顺利，大家配合得很好。 #今天,positive
S000007,2025-09-07 18:30:00,校园论坛,论文写不出来，deadline又快到了。,negative
S000007,2025-09-22 12:00:00,校园论坛,下个月有英语四级考试，要开始准备了。 #记录,neutral
S000007,2025-09-28 01:37:00,校园论坛,食堂今天的菜色和昨天差不多。 加油！,neutral
S000007,2025-10-01 05:26:00,树洞,感觉自己什么都做不好，好失败... #今天,negative
S000007,2025-11-10 03:03:00,树洞,电脑风扇声音很大，该清灰了。,neutral
S000007,2025-11-29 23:50:00,校园论坛,被同学误会了，解释也没人听...,negative
S000008,2025-09-06 19:05:00,匿名留言板,今天摔了一跤，膝盖好疼... 希望明天会更好,negative
S000008,2025-10-01 12:07:00,匿名留言板,图书馆二楼的自习室比较安静。,neutral
S000008,2025-10-04 06:42:00,校园论坛,今天作业不多，可以早点休息。 #日常,neutral
S000008,2025-11-05 02:54:00,匿名留言板,和新同学认识聊得很愉快，交到了新朋友。,positive
S000008,2025-11-12 03:04:00,校园论坛,论文写不出来，deadline又快到了。 #日常,negative
S000008,2025-11-25 20:19:00,校园论坛,最近压力好大，睡不着觉。,negative
S000009,2025-09-07 02:40:00,校园论坛,期末复习太累了，脑子转不动。,negative
S000009,2025-09-14 23:35:00,校园论坛,和同学讨论问题很有收获，团队合作很重要。 希望明天会更好,positive
S000009,2025-10-14 06:43:00,校园论坛,下个月有英语四级考试，要开始准备了。 分享给大家~,neutral
S000009,2025-10-15 02:56:00,校园论坛,和同学讨论问题很有收获，团队合作很重要。,positive
S000009,2025-11-09 22:19:00,匿名留言板,耳机丢了，最近只能外放了。,neutral
S000009,2025-11-10 09:59:00,校园论坛,这周生活费还剩一半，需要省着点花。 #日常,neutral
S000010,2025-09-06 11:13:00,匿名留言板,明天有小组会议，要准备一下PPT。 #校园生活,neutral
S000010,2025-09-17 20:16:00,匿名留言板,今天尝试了一道新菜，很成功！ 分享给大家~,positive
S000010,2025-09-23 13:01:00,树洞,今天的阳光很温暖，适合出去走走。 #今天,positive
S000010,2025-10-18 18:35:00,校园论坛,收到了心仪公司的offer，太激动了！,positive
S000010,2025-10-23 19:47:00,树洞,完成了一个月的早起打卡计划，坚持就是胜利！,positive
S000010,2025-11-11 00:07:00,校园论坛,收到了心仪公司的offer，太激动了！ 分享给大家~,positive
